costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
1035.0,24V 4000VA/4000W INVERSOR GOSPOWER,1850.0,GPEO4KL1,Unidades,INVERSORES HIBRIDOS,GPEO4KL1.jpg,http://localhost:3000/uploads/GPEO4KL1.jpg
0.0,24V/100AH BATERIA DE LITHIO GOSPOW,2500.0,,Unidades,BATERIAS,24V_100AH_BATERIA_DE_LITHIO_GOSPOW.jpg,http://localhost:3000/uploads/24V_100AH_BATERIA_DE_LITHIO_GOSPOW.jpg
550.0,24V/375V  INVERSOR VICTRON PHOENIX,664.0,,Unidades,INVERSORES,24V_375V_INVERSOR_VICTRON_PHOENIX.jpg,http://localhost:3000/uploads/24V_375V_INVERSOR_VICTRON_PHOENIX.jpg
1829.78,250/100-TR MPPT SMARTSOLAR,2927.64,,Unidades,CONTROLADORES,250_100-TR_MPPT_SMARTSOLAR.jpg,http://localhost:3000/uploads/250_100-TR_MPPT_SMARTSOLAR.jpg
2840.0,250/70-Tr  MPPT SMARTSOLAR,3800.0,MPPT 250/70,Unidades,CONTROLADORES,MPPT_250_70.jpg,http://localhost:3000/uploads/MPPT_250_70.jpg
128.0,256GB MICROSD - PURPLE WD,150.0,WD-MICROSD-256GB,Unidades,HDD,WD-MICROSD-256GB.jpg,http://localhost:3000/uploads/WD-MICROSD-256GB.jpg
35.0,25A/230VA INTERRUPTOR  TERMOMAGNETICO SCHNEIDER,49.0,,Unidades,CABLES PARA PANEL SOLAR,25A_230VA_INTERRUPTOR_TERMOMAGNETICO_SCHNEIDER.jpg,http://localhost:3000/uploads/25A_230VA_INTERRUPTOR_TERMOMAGNETICO_SCHNEIDER.jpg
0.0,270W - 12/ 24V PANEL SOLAR OSDA,420.0,,Unidades,PANELES,270W_-_12_24V_PANEL_SOLAR_OSDA.jpg,http://localhost:3000/uploads/270W_-_12_24V_PANEL_SOLAR_OSDA.jpg
1598.7,2KW MICROINVERSOR MONOFASICO GOODWE,2900.0,GW2000-XS-30,Unidades,INVERSORES HIBRIDOS,GW2000-XS-30.jpg,http://localhost:3000/uploads/GW2000-XS-30.jpg
68.4,2MP CAMARA INTERIOR,95.0,,Unidades,CAMARAS IP/ANALOGAS DAHUA,2MP_CAMARA_INTERIOR.jpg,http://localhost:3000/uploads/2MP_CAMARA_INTERIOR.jpg
145.0,2MP CAMARA IP DAHUA,232.0,,Unidades,CAMARAS IP/ANALOGAS DAHUA,2MP_CAMARA_IP_DAHUA.jpg,http://localhost:3000/uploads/2MP_CAMARA_IP_DAHUA.jpg
86.8,2MP CAMARA TUBO EXTERIOR ANALOGICA DAHUA,110.0,,Unidades,CAMARAS IP/ANALOGAS DAHUA,2MP_CAMARA_TUBO_EXTERIOR_ANALOGICA_DAHUA.jpg,http://localhost:3000/uploads/2MP_CAMARA_TUBO_EXTERIOR_ANALOGICA_DAHUA.jpg
98.5,2MP WIFI HIK CAMARA CUBO 2MP C/LENTE 2.8MM INTERIOR * PEDIDO 2 DIAS,150.0,,Unidades,CAM INALAMBRICAS,2MP_WIFI_HIK_CAMARA_CUBO_2MP_C_LENTE_2.8MM_INTERIOR_PEDIDO_2.jpg,http://localhost:3000/uploads/2MP_WIFI_HIK_CAMARA_CUBO_2MP_C_LENTE_2.8MM_INTERIOR_PEDIDO_2.jpg
1280.0,2X14 GENESIS CABLE INCENDIO FPLR SOLIDO 300M - CERTIFICADO UL,1650.0,,Unidades,INCENDIO,2X14_GENESIS_CABLE_INCENDIO_FPLR_SOLIDO_300M_-_CERTIFICADO_U.jpg,http://localhost:3000/uploads/2X14_GENESIS_CABLE_INCENDIO_FPLR_SOLIDO_300M_-_CERTIFICADO_U.jpg
88.0,300W 12 / 220V ONDA MODIFICADA SOLTRONIX,180.0,BS300M,Unidades,INVERSORES,BS300M.jpg,http://localhost:3000/uploads/BS300M.jpg
1200.0,3200W 24V MPPT MUST SOLAR,1850.0,3200W 24V MPPT 60A,Unidades,INVERSORES HIBRIDOS,3200W_24V_MPPT_60A.jpg,http://localhost:3000/uploads/3200W_24V_MPPT_60A.jpg
0.0,35mm² X 1M CABLE DE BATERIA,36.0,,Unidades,CABLES,35mm_X_1M_CABLE_DE_BATERIA.jpg,http://localhost:3000/uploads/35mm_X_1M_CABLE_DE_BATERIA.jpg
0.0,35mm² X 1M CABLE DE BATERIA (ROJO),36.0,,Unidades,CABLES,35mm_X_1M_CABLE_DE_BATERIA_ROJO_.jpg,http://localhost:3000/uploads/35mm_X_1M_CABLE_DE_BATERIA_ROJO_.jpg
2159.4,3KW - FOXESS - MICROINVRSOR SOLAR MONOFASICO F-3000-G2,2500.0,,Unidades,MICROINVERSOR,3KW_-_FOXESS_-_MICROINVRSOR_SOLAR_MONOFASICO_F-3000-G2.jpg,http://localhost:3000/uploads/3KW_-_FOXESS_-_MICROINVRSOR_SOLAR_MONOFASICO_F-3000-G2.jpg
1860.0,3KW INVERSOR RED GROWATT,2450.0,,Unidades,INVERSORES DE RED,3KW_INVERSOR_RED_GROWATT.jpg,http://localhost:3000/uploads/3KW_INVERSOR_RED_GROWATT.jpg
239.0,4 BTNS CNTRL DE PRTRA INTGRD,334.0,CA080022,Unidades,INTERCOMUNICADORES,CA080022.jpg,http://localhost:3000/uploads/CA080022.jpg
